Date,Adj Close,SMA 10,SMA 25,SMA 100,WMA10,EMA10
2016-11-19,751.6160278320312,724.4046081542969,713.2551245117188,633.3650408935547,732.438,730.089
2016-11-20,731.0260009765625,725.95380859375,715.36400390625,634.7997106933594,733.642,730.259
2016-11-21,739.2479858398438,728.2375061035157,717.4014038085937,636.3363104248047,736.059,731.894
2016-11-22,751.3469848632812,732.8668029785156,719.8692431640625,638.1450500488281,740.261,735.431
2016-11-23,744.593994140625,737.1231018066406,721.0738427734375,639.9185900878906,742.393,737.097
2016-11-24,740.2890014648438,740.64990234375,722.6108422851562,641.54708984375,742.969,737.677
2016-11-25,741.6489868164062,743.6528991699219,724.2379223632812,643.2314196777344,743.15,738.399
2016-11-26,735.3820190429688,742.7713012695312,724.4614819335937,644.8420599365235,741.646,737.851
2016-11-27,732.0349731445312,741.877099609375,724.1097216796875,646.4061096191406,739.694,736.793
2016-11-28,735.81298828125,740.2998962402344,725.9942407226563,647.9472692871094,738.592,736.615
2016-11-29,735.60400390625,738.6986938476563,727.2890014648438,649.4902294921875,737.738,736.431
2016-11-30,745.6909790039062,740.1651916503906,728.9799194335938,651.079609375,739.009,738.115
2016-12-01,756.7739868164062,741.9177917480469,730.79,652.8131994628907,742.029,741.507
2016-12-02,777.9439697265625,744.577490234375,733.78251953125,654.7908190917968,748.579,748.132
2016-12-03,771.155029296875,747.23359375,736.2347998046876,656.7247595214844,753.412,752.318
2016-12-04,773.8720092773438,750.59189453125,738.258759765625,658.6669696044922,758.255,756.237
2016-12-05,758.7000122070312,752.2969970703125,739.985400390625,660.5544995117187,759.729,756.685
2016-12-06,764.2239990234375,755.1811950683593,741.897919921875,662.4576196289063,761.898,758.056
2016-12-07,768.1320190429688,758.7908996582031,744.4210400390625,664.3978698730468,764.252,759.888
2016-12-08,770.8099975585938,762.2906005859375,747.1721997070313,666.3309399414062,766.438,761.874
2016-12-09,772.7940063476562,766.0096008300782,749.8831201171874,668.30416015625,768.347,763.859
2016-12-10,774.6500244140625,768.9055053710938,752.4043603515624,670.3276306152344,769.918,765.821
2016-12-11,769.7310180664062,770.2012084960937,753.4256811523437,672.2695709228516,770.068,766.532
2016-12-12,780.0869750976562,770.4155090332031,754.9900805664063,674.0883209228516,771.866,768.997
2016-12-13,780.5560302734375,771.3556091308594,756.1489208984375,675.8075415039062,773.71,771.098
2016-12-14,781.4810180664062,772.1165100097656,757.3435205078125,677.5564514160156,775.551,772.986
2016-12-15,778.0880126953125,774.0553100585937,759.2260009765625,679.2329718017578,776.636,773.914
2016-12-16,784.906982421875,776.1236083984375,761.0523608398438,680.9366015625,778.609,775.912
2016-12-17,790.8289794921875,778.3933044433594,762.631640625,682.5817315673828,781.283,778.625
2016-12-18,790.530029296875,780.3653076171875,764.46908203125,684.2584216308594,783.49,780.789
2016-12-19,792.7139892578125,782.3573059082031,766.5660815429687,685.9504718017578,785.735,782.957
